date,rank,song,artist,last-week,peak-rank,weeks-on-board,song_clean,artist_clean
2014-03-22,91,Sleeping With A Friend,Neon Trees,100.0,91,2,sleeping with a friend,neon trees
2014-03-22,92,Lettin' The Night Roll,Justin Moore,99.0,92,3,lettin' the night roll,justin moore
2014-03-22,93,Mmm Yeah,Austin Mahone Featuring Pitbull,0.0,60,3,mmm yeah,austin mahone featuring pitbull
2014-03-22,94,Adrenalina,Wisin Featuring Jennifer Lopez & Ricky Martin,0.0,94,1,adrenalina,wisin featuring jennifer lopez and ricky martin
2014-03-22,95,Can't Raise A Man,K. Michelle,98.0,94,5,can't raise a man,k michelle
2014-03-22,96,The Walker,Fitz And The Tantrums,93.0,93,2,the walker,fitz and the tantrums
2014-03-22,97,They Don't Know,Rico Love,73.0,73,7,they don't know,rico love
2014-03-22,98,Unconditionally,Katy Perry,82.0,14,20,unconditionally,katy perry
2014-03-22,99,Waiting For Superman,Daughtry,90.0,66,17,waiting for superman,daughtry
2014-03-22,100,Chocolate,The 1975,84.0,80,6,chocolate,the 1975
2014-03-15,1,Happy,Pharrell Williams,1.0,1,9,happy,pharrell williams
2014-03-15,2,Dark Horse,Katy Perry Featuring Juicy J,2.0,1,24,dark horse,katy perry featuring juicy j
2014-03-15,3,Talk Dirty,Jason Derulo Featuring 2 Chainz,3.0,3,11,talk dirty,jason derulo featuring 2 chainz
2014-03-15,4,All Of Me,John Legend,4.0,4,21,all of me,john legend
2014-03-15,5,Pompeii,Bastille,6.0,5,29,pompeii,bastille
2014-03-15,6,Team,Lorde,7.0,6,23,team,lorde
2014-03-15,7,Drunk In Love,Beyonce Featuring Jay Z,5.0,2,11,drunk in love,beyonce featuring jay z
2014-03-15,8,Counting Stars,OneRepublic,9.0,2,37,counting stars,onerepublic
2014-03-15,9,Say Something,A Great Big World & Christina Aguilera,8.0,4,17,say something,a great big world and christina aguilera
2014-03-15,10,Timber,Pitbull Featuring Ke$ha,10.0,1,21,timber,pitbull featuring ke ha
2014-03-15,11,Let Her Go,Passenger,11.0,5,31,let her go,passenger
2014-03-15,12,Story Of My Life,One Direction,12.0,6,18,story of my life,one direction
2014-03-15,13,The Man,Aloe Blacc,13.0,13,10,the man,aloe blacc
2014-03-15,14,Show Me,Kid Ink Featuring Chris Brown,16.0,14,17,show me,kid ink featuring chris brown
2014-03-15,15,The Monster,Eminem Featuring Rihanna,14.0,1,18,the monster,eminem featuring rihanna
2014-03-15,16,Burn,Ellie Goulding,15.0,13,26,burn,ellie goulding
2014-03-15,17,Let It Go,Idina Menzel,18.0,17,14,let it go,idina menzel
2014-03-15,18,Royals,Lorde,17.0,1,35,royals,lorde
2014-03-15,19,My Hitta,YG Featuring Jeezy & Rich Homie Quan,22.0,19,22,my hitta,yg featuring jeezy and rich homie quan
2014-03-15,20,Demons,Imagine Dragons,19.0,6,45,demons,imagine dragons
2014-03-15,21,Best Day Of My Life,American Authors,23.0,21,16,best day of my life,american authors
2014-03-15,22,Wake Me Up!,Avicii,20.0,4,36,wake me up,avicii
2014-03-15,23,Partition,Beyonce,97.0,23,8,partition,beyonce
2014-03-15,24,Roar,Katy Perry,21.0,1,30,roar,katy perry
2014-03-15,25,Hey Brother,Avicii,24.0,24,13,hey brother,avicii
2014-03-15,26,Can't Remember To Forget You,Shakira Featuring Rihanna,26.0,15,7,can't remember to forget you,shakira featuring rihanna
2014-03-15,27,Radioactive,Imagine Dragons,27.0,3,79,radioactive,imagine dragons
2014-03-15,28,Turn Down For What,DJ Snake & Lil Jon,29.0,28,10,turn down for what,dj snake and lil jon
2014-03-15,29,Paranoid,Ty Dolla $ign Featuring B.o.B,33.0,29,11,paranoid,ty dolla ign featuring b o b
2014-03-15,30,Adore You,Miley Cyrus,25.0,21,12,adore you,miley cyrus
2014-03-15,31,Animals,Martin Garrix,36.0,31,24,animals,martin garrix
2014-03-15,32,Bottoms Up,Brantley Gilbert,34.0,32,11,bottoms up,brantley gilbert
2014-03-15,33,Young Girls,Bruno Mars,32.0,32,9,young girls,bruno mars
2014-03-15,34,Love Me Again,John Newman,30.0,30,15,love me again,john newman
2014-03-15,35,Wrecking Ball,Miley Cyrus,31.0,1,28,wrecking ball,miley cyrus
2014-03-15,36,Brave,Sara Bareilles,39.0,23,38,brave,sara bareilles
2014-03-15,37,"Hold On, We're Going Home",Drake Featuring Majid Jordan,35.0,4,30,hold on we're going home,drake featuring majid jordan
2014-03-15,38,When She Says Baby,Jason Aldean,40.0,38,14,when she says baby,jason aldean
2014-03-15,39,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,42.0,1,46,blurred lines,robin thicke featuring t i pharrell
2014-03-15,40,I Hold On,Dierks Bentley,53.0,40,11,i hold on,dierks bentley
2014-03-15,41,Sail,AWOLNATION,41.0,17,78,sail,awolnation
2014-03-15,42,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,48.0,42,7,loyal,chris brown featuring lil wayne and french montana or too hort or tyga
2014-03-15,43,Chillin' It,Cole Swindell,28.0,28,20,chillin' it,cole swindell
2014-03-15,44,Drink A Beer,Luke Bryan,37.0,31,17,drink a beer,luke bryan
2014-03-15,45,Doin' What She Likes,Blake Shelton,43.0,43,7,doin' what she likes,blake shelton
2014-03-15,46,Neon Lights,Demi Lovato,38.0,36,10,neon lights,demi lovato
2014-03-15,47,Compass,Lady Antebellum,46.0,46,17,compass,lady antebellum
2014-03-15,48,Na Na,Trey Songz,55.0,48,6,na na,trey songz
2014-03-15,49,Cop Car,Keith Urban,52.0,49,5,cop car,keith urban
2014-03-15,50,Give Me Back My Hometown,Eric Church,47.0,44,8,give me back my hometown,eric church
2014-03-15,51,Human,Christina Perri,67.0,51,4,human,christina perri
2014-03-15,52,See You Tonight,Scotty McCreery,54.0,52,14,see you tonight,scotty mccreery
2014-03-15,53,Drink To That All Night,Jerrod Niemann,56.0,53,9,drink to that all night,jerrod niemann
2014-03-15,54,Helluva Life,Frankie Ballard,51.0,51,13,helluva life,frankie ballard
2014-03-15,55,#SELFIE,The Chainsmokers,0.0,55,1,selfie,the chainsmokers
2014-03-15,56,This Is How We Roll,Florida Georgia Line Ft. Jason Derulo & Luke Bryan,68.0,56,4,this is how we roll,florida georgia line ft jason derulo and luke bryan
2014-03-15,57,Take Me Home,Cash Cash Featuring Bebe Rexha,60.0,57,7,take me home,cash cash featuring bebe rexha
2014-03-15,58,Stoner,Young Thug,59.0,58,3,stoner,young thug
2014-03-15,59,Rewind,Rascal Flatts,63.0,58,7,rewind,rascal flatts
2014-03-15,60,19 You + Me,Dan + Shay,64.0,60,9,19 you me,dan shay
2014-03-15,61,Let It Go,Demi Lovato,61.0,38,14,let it go,demi lovato
2014-03-15,62,Man Of The Year,ScHoolboy Q,81.0,62,3,man of the year,schoolboy q
2014-03-15,63,Up Down (Do This All Day),T-Pain Featuring B.o.B,62.0,62,15,up down,t-pain featuring b o b
2014-03-15,64,Get Me Some Of That,Thomas Rhett,66.0,64,8,get me some of that,thomas rhett
2014-03-15,65,Not A Bad Thing,Justin Timberlake,0.0,65,1,not a bad thing,justin timberlake
2014-03-15,66,The Worst,Jhene Aiko,74.0,66,4,the worst,jhene aiko
2014-03-15,67,Rap God,Eminem,58.0,7,20,rap god,eminem
2014-03-15,68,Glory And Gore,Lorde,88.0,68,2,glory and gore,lorde
2014-03-15,69,Goodnight Kiss,Randy Houser,69.0,69,8,goodnight kiss,randy houser
2014-03-15,70,Do I Wanna Know?,Arctic Monkeys,70.0,70,13,do i wanna know,arctic monkeys
2014-03-15,71,Everything I Shouldn't Be Thinking About,Thompson Square,73.0,71,7,everything i shouldn't be thinking about,thompson square
2014-03-15,72,Odio,Romeo Santos Featuring Drake,78.0,45,5,odio,romeo santos featuring drake
2014-03-15,73,They Don't Know,Rico Love,87.0,73,6,they don't know,rico love
2014-03-15,74,Love Don't Die,The Fray,65.0,60,9,love don't die,the fray
2014-03-15,75,Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",71.0,55,10,do you want to build a snowman,kristen bell agatha lee monn and katie lopez
2014-03-15,76,Ride,SoMo,83.0,76,8,ride,somo
2014-03-15,77,The Language,Drake,72.0,51,19,the language,drake
2014-03-15,78,Stay,Florida Georgia Line,77.0,28,20,stay,florida georgia line
2014-03-15,79,On Top Of The World,Imagine Dragons,85.0,79,5,on top of the world,imagine dragons
2014-03-15,80,Beat Of The Music,Brett Eldredge,89.0,80,4,beat of the music,brett eldredge
2014-03-15,81,Everything Is AWESOME!!!,Tegan And Sara Featuring The Lonely Island,57.0,57,3,everything is awesome,tegan and sara featuring the lonely island
2014-03-15,82,Unconditionally,Katy Perry,75.0,14,19,unconditionally,katy perry
2014-03-15,83,Oceans (Where Feet May Fail),Hillsong UNITED,92.0,83,6,oceans,hillsong united
2014-03-15,84,Chocolate,The 1975,80.0,80,5,chocolate,the 1975
2014-03-15,85,La La La,Naughty Boy Featuring Sam Smith,98.0,85,2,la la la,naughty boy featuring sam smith
2014-03-15,86,The Heart Of Dixie,Danielle Bradbery,84.0,58,13,the heart of dixie,danielle bradbery
2014-03-15,87,For The First Time In Forever,Kristen Bell & Idina Menzel,82.0,57,10,for the first time in forever,kristen bell and idina menzel
2014-03-15,88,Friday Night,Eric Paslay,76.0,47,20,friday night,eric paslay
2014-03-15,89,Wild Wild Love,Pitbull Featuring G.R.L.,0.0,89,1,wild wild love,pitbull featuring g r l
2014-03-15,90,Waiting For Superman,Daughtry,79.0,66,16,waiting for superman,daughtry
2014-03-15,91,Classic,MKTO,91.0,91,3,classic,mkto
2014-03-15,92,Part II (On The Run),Jay Z Featuring Beyonce,96.0,81,3,part ii,jay z featuring beyonce
2014-03-15,93,The Walker,Fitz And The Tantrums,0.0,93,1,the walker,fitz and the tantrums
2014-03-15,94,Collard Greens,ScHoolboy Q Featuring Kendrick Lamar,0.0,92,8,collard greens,schoolboy q featuring kendrick lamar
2014-03-15,95,Do What U Want,Lady Gaga Featuring R. Kelly,86.0,13,19,do what u want,lady gaga featuring r kelly
2014-03-15,96,Ain't It Fun,Paramore,0.0,96,1,ain't it fun,paramore
2014-03-15,97,Automatic,Miranda Lambert,0.0,63,2,automatic,miranda lambert
2014-03-15,98,Can't Raise A Man,K. Michelle,95.0,94,4,can't raise a man,k michelle
2014-03-15,99,Lettin' The Night Roll,Justin Moore,100.0,99,2,lettin' the night roll,justin moore
2014-03-15,100,Sleeping With A Friend,Neon Trees,0.0,100,1,sleeping with a friend,neon trees
2014-03-08,1,Happy,Pharrell Williams,2.0,1,8,happy,pharrell williams
2014-03-08,2,Dark Horse,Katy Perry Featuring Juicy J,1.0,1,23,dark horse,katy perry featuring juicy j
2014-03-08,3,Talk Dirty,Jason Derulo Featuring 2 Chainz,3.0,3,10,talk dirty,jason derulo featuring 2 chainz
2014-03-08,4,All Of Me,John Legend,11.0,4,20,all of me,john legend
2014-03-08,5,Drunk In Love,Beyonce Featuring Jay Z,5.0,2,10,drunk in love,beyonce featuring jay z
2014-03-08,6,Pompeii,Bastille,8.0,6,28,pompeii,bastille
2014-03-08,7,Team,Lorde,9.0,7,22,team,lorde
2014-03-08,8,Say Something,A Great Big World & Christina Aguilera,4.0,4,16,say something,a great big world and christina aguilera
2014-03-08,9,Counting Stars,OneRepublic,6.0,2,36,counting stars,onerepublic
2014-03-08,10,Timber,Pitbull Featuring Ke$ha,7.0,1,20,timber,pitbull featuring ke ha
2014-03-08,11,Let Her Go,Passenger,10.0,5,30,let her go,passenger
2014-03-08,12,Story Of My Life,One Direction,12.0,6,17,story of my life,one direction
2014-03-08,13,The Man,Aloe Blacc,16.0,13,9,the man,aloe blacc
2014-03-08,14,The Monster,Eminem Featuring Rihanna,13.0,1,17,the monster,eminem featuring rihanna
2014-03-08,15,Burn,Ellie Goulding,15.0,13,25,burn,ellie goulding
2014-03-08,16,Show Me,Kid Ink Featuring Chris Brown,17.0,16,16,show me,kid ink featuring chris brown
2014-03-08,17,Royals,Lorde,14.0,1,34,royals,lorde
2014-03-08,18,Let It Go,Idina Menzel,18.0,18,13,let it go,idina menzel
2014-03-08,19,Demons,Imagine Dragons,19.0,6,44,demons,imagine dragons
2014-03-08,20,Wake Me Up!,Avicii,20.0,4,35,wake me up,avicii
2014-03-08,21,Roar,Katy Perry,23.0,1,29,roar,katy perry
2014-03-08,22,My Hitta,YG Featuring Jeezy & Rich Homie Quan,24.0,19,21,my hitta,yg featuring jeezy and rich homie quan
2014-03-08,23,Best Day Of My Life,American Authors,25.0,23,15,best day of my life,american authors
2014-03-08,24,Hey Brother,Avicii,27.0,24,12,hey brother,avicii
2014-03-08,25,Adore You,Miley Cyrus,21.0,21,11,adore you,miley cyrus
2014-03-08,26,Can't Remember To Forget You,Shakira Featuring Rihanna,22.0,15,6,can't remember to forget you,shakira featuring rihanna
2014-03-08,27,Radioactive,Imagine Dragons,26.0,3,78,radioactive,imagine dragons
2014-03-08,28,Chillin' It,Cole Swindell,28.0,28,19,chillin' it,cole swindell
2014-03-08,29,Turn Down For What,DJ Snake & Lil Jon,32.0,29,9,turn down for what,dj snake and lil jon
2014-03-08,30,Love Me Again,John Newman,30.0,30,14,love me again,john newman
2014-03-08,31,Wrecking Ball,Miley Cyrus,29.0,1,27,wrecking ball,miley cyrus
2014-03-08,32,Young Girls,Bruno Mars,35.0,32,8,young girls,bruno mars
2014-03-08,33,Paranoid,Ty Dolla $ign Featuring B.o.B,38.0,33,10,paranoid,ty dolla ign featuring b o b
2014-03-08,34,Bottoms Up,Brantley Gilbert,42.0,34,10,bottoms up,brantley gilbert
2014-03-08,35,"Hold On, We're Going Home",Drake Featuring Majid Jordan,34.0,4,29,hold on we're going home,drake featuring majid jordan
2014-03-08,36,Animals,Martin Garrix,37.0,36,23,animals,martin garrix
2014-03-08,37,Drink A Beer,Luke Bryan,31.0,31,16,drink a beer,luke bryan
2014-03-08,38,Neon Lights,Demi Lovato,36.0,36,9,neon lights,demi lovato
2014-03-08,39,Brave,Sara Bareilles,33.0,23,37,brave,sara bareilles
2014-03-08,40,When She Says Baby,Jason Aldean,41.0,40,13,when she says baby,jason aldean
2014-03-08,41,Sail,AWOLNATION,40.0,17,77,sail,awolnation
2014-03-08,42,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,43.0,1,45,blurred lines,robin thicke featuring t i pharrell
2014-03-08,43,Doin' What She Likes,Blake Shelton,49.0,43,6,doin' what she likes,blake shelton
2014-03-08,44,Safe And Sound,Capital Cities,46.0,8,43,safe and sound,capital cities
2014-03-08,45,Sweater Weather,The Neighbourhood,39.0,14,37,sweater weather,the neighbourhood
2014-03-08,46,Compass,Lady Antebellum,50.0,46,16,compass,lady antebellum
2014-03-08,47,Give Me Back My Hometown,Eric Church,44.0,44,7,give me back my hometown,eric church
2014-03-08,48,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,54.0,48,6,loyal,chris brown featuring lil wayne and french montana or too hort or tyga
2014-03-08,49,Whatever She's Got,David Nail,45.0,35,21,whatever she's got,david nail
2014-03-08,50,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",48.0,11,23,23,mike will made-it featuring miley cyrus wiz khalifa and juicy j
2014-03-08,51,Helluva Life,Frankie Ballard,53.0,51,12,helluva life,frankie ballard
2014-03-08,52,Cop Car,Keith Urban,60.0,52,4,cop car,keith urban
2014-03-08,53,I Hold On,Dierks Bentley,58.0,53,10,i hold on,dierks bentley
2014-03-08,54,See You Tonight,Scotty McCreery,57.0,54,13,see you tonight,scotty mccreery
2014-03-08,55,Na Na,Trey Songz,69.0,55,5,na na,trey songz
2014-03-08,56,Drink To That All Night,Jerrod Niemann,61.0,56,8,drink to that all night,jerrod niemann
2014-03-08,57,Everything Is AWESOME!!!,Tegan And Sara Featuring The Lonely Island,62.0,57,2,everything is awesome,tegan and sara featuring the lonely island
2014-03-08,58,Rap God,Eminem,59.0,7,19,rap god,eminem
2014-03-08,59,Stoner,Young Thug,75.0,59,2,stoner,young thug
2014-03-08,60,Take Me Home,Cash Cash Featuring Bebe Rexha,64.0,60,6,take me home,cash cash featuring bebe rexha
2014-03-08,61,Let It Go,Demi Lovato,55.0,38,13,let it go,demi lovato
2014-03-08,62,Up Down (Do This All Day),T-Pain Featuring B.o.B,65.0,62,14,up down,t-pain featuring b o b
2014-03-08,63,Rewind,Rascal Flatts,67.0,58,6,rewind,rascal flatts
2014-03-08,64,19 You + Me,Dan + Shay,71.0,64,8,19 you me,dan shay
2014-03-08,65,Love Don't Die,The Fray,70.0,60,8,love don't die,the fray
2014-03-08,66,Get Me Some Of That,Thomas Rhett,74.0,66,7,get me some of that,thomas rhett
2014-03-08,67,Human,Christina Perri,84.0,67,3,human,christina perri
2014-03-08,68,This Is How We Roll,Florida Georgia Line Ft. Jason Derulo & Luke Bryan,86.0,68,3,this is how we roll,florida georgia line ft jason derulo and luke bryan
2014-03-08,69,Goodnight Kiss,Randy Houser,77.0,69,7,goodnight kiss,randy houser
2014-03-08,70,Do I Wanna Know?,Arctic Monkeys,79.0,70,12,do i wanna know,arctic monkeys
2014-03-08,71,Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",56.0,55,9,do you want to build a snowman,kristen bell agatha lee monn and katie lopez
2014-03-08,72,The Language,Drake,72.0,51,18,the language,drake
2014-03-08,73,Everything I Shouldn't Be Thinking About,Thompson Square,82.0,73,6,everything i shouldn't be thinking about,thompson square
2014-03-08,74,The Worst,Jhene Aiko,87.0,74,3,the worst,jhene aiko
2014-03-08,75,Unconditionally,Katy Perry,73.0,14,18,unconditionally,katy perry
2014-03-08,76,Friday Night,Eric Paslay,66.0,47,19,friday night,eric paslay
2014-03-08,77,Stay,Florida Georgia Line,76.0,28,19,stay,florida georgia line
2014-03-08,78,Odio,Romeo Santos Featuring Drake,91.0,45,4,odio,romeo santos featuring drake
2014-03-08,79,Waiting For Superman,Daughtry,81.0,66,15,waiting for superman,daughtry
2014-03-08,80,Chocolate,The 1975,90.0,80,4,chocolate,the 1975
2014-03-08,81,Man Of The Year,ScHoolboy Q,0.0,81,2,man of the year,schoolboy q
2014-03-08,82,For The First Time In Forever,Kristen Bell & Idina Menzel,78.0,57,9,for the first time in forever,kristen bell and idina menzel
2014-03-08,83,Ride,SoMo,85.0,80,7,ride,somo
2014-03-08,84,The Heart Of Dixie,Danielle Bradbery,92.0,58,12,the heart of dixie,danielle bradbery
2014-03-08,85,On Top Of The World,Imagine Dragons,94.0,85,4,on top of the world,imagine dragons
2014-03-08,86,Do What U Want,Lady Gaga Featuring R. Kelly,68.0,13,18,do what u want,lady gaga featuring r kelly
2014-03-08,87,They Don't Know,Rico Love,89.0,85,5,they don't know,rico love
2014-03-08,88,Glory And Gore,Lorde,0.0,88,1,glory and gore,lorde
2014-03-08,89,Beat Of The Music,Brett Eldredge,97.0,89,3,beat of the music,brett eldredge
2014-03-08,90,XO,Beyonce,83.0,45,10,xo,beyonce
2014-03-08,91,Classic,MKTO,96.0,91,2,classic,mkto
2014-03-08,92,Oceans (Where Feet May Fail),Hillsong UNITED,98.0,92,5,oceans,hillsong united
2014-03-08,93,Worst Behavior,Drake,99.0,89,11,worst behavior,drake
2014-03-08,94,Thinking About You,Calvin Harris Featuring Ayah Marar,93.0,86,6,thinking about you,calvin harris featuring ayah marar
2014-03-08,95,Can't Raise A Man,K. Michelle,0.0,94,3,can't raise a man,k michelle
2014-03-08,96,Part II (On The Run),Jay Z Featuring Beyonce,0.0,81,2,part ii,jay z featuring beyonce
2014-03-08,97,Partition,Beyonce,95.0,70,7,partition,beyonce
2014-03-08,98,La La La,Naughty Boy Featuring Sam Smith,0.0,98,1,la la la,naughty boy featuring sam smith
2014-03-08,99,Ordinary Love,U2,0.0,99,1,ordinary love,u2
2014-03-08,100,Lettin' The Night Roll,Justin Moore,0.0,100,1,lettin' the night roll,justin moore
2014-03-01,1,Dark Horse,Katy Perry Featuring Juicy J,1.0,1,22,dark horse,katy perry featuring juicy j
2014-03-01,2,Happy,Pharrell Williams,2.0,2,7,happy,pharrell williams
2014-03-01,3,Talk Dirty,Jason Derulo Featuring 2 Chainz,3.0,3,9,talk dirty,jason derulo featuring 2 chainz
2014-03-01,4,Say Something,A Great Big World & Christina Aguilera,4.0,4,15,say something,a great big world and christina aguilera
2014-03-01,5,Drunk In Love,Beyonce Featuring Jay Z,8.0,2,9,drunk in love,beyonce featuring jay z
2014-03-01,6,Counting Stars,OneRepublic,7.0,2,35,counting stars,onerepublic
2014-03-01,7,Timber,Pitbull Featuring Ke$ha,6.0,1,19,timber,pitbull featuring ke ha
2014-03-01,8,Pompeii,Bastille,10.0,8,27,pompeii,bastille
2014-03-01,9,Team,Lorde,9.0,8,21,team,lorde
2014-03-01,10,Let Her Go,Passenger,5.0,5,29,let her go,passenger
2014-03-01,11,All Of Me,John Legend,15.0,11,19,all of me,john legend
2014-03-01,12,Story Of My Life,One Direction,13.0,6,16,story of my life,one direction
2014-03-01,13,The Monster,Eminem Featuring Rihanna,11.0,1,16,the monster,eminem featuring rihanna
2014-03-01,14,Royals,Lorde,12.0,1,33,royals,lorde
2014-03-01,15,Burn,Ellie Goulding,14.0,13,24,burn,ellie goulding
2014-03-01,16,The Man,Aloe Blacc,17.0,16,8,the man,aloe blacc
2014-03-01,17,Show Me,Kid Ink Featuring Chris Brown,20.0,17,15,show me,kid ink featuring chris brown
2014-03-01,18,Let It Go,Idina Menzel,18.0,18,12,let it go,idina menzel
2014-03-01,19,Demons,Imagine Dragons,16.0,6,43,demons,imagine dragons
2014-03-01,20,Wake Me Up!,Avicii,19.0,4,34,wake me up,avicii
2014-03-01,21,Adore You,Miley Cyrus,24.0,21,10,adore you,miley cyrus
2014-03-01,22,Can't Remember To Forget You,Shakira Featuring Rihanna,21.0,15,5,can't remember to forget you,shakira featuring rihanna
2014-03-01,23,Roar,Katy Perry,22.0,1,28,roar,katy perry
2014-03-01,24,My Hitta,YG Featuring Jeezy & Rich Homie Quan,25.0,19,20,my hitta,yg featuring jeezy and rich homie quan
2014-03-01,25,Best Day Of My Life,American Authors,26.0,25,14,best day of my life,american authors
2014-03-01,26,Radioactive,Imagine Dragons,23.0,3,77,radioactive,imagine dragons
2014-03-01,27,Hey Brother,Avicii,30.0,27,11,hey brother,avicii
2014-03-01,28,Chillin' It,Cole Swindell,38.0,28,18,chillin' it,cole swindell
2014-03-01,29,Wrecking Ball,Miley Cyrus,27.0,1,26,wrecking ball,miley cyrus
2014-03-01,30,Love Me Again,John Newman,31.0,30,13,love me again,john newman
2014-03-01,31,Drink A Beer,Luke Bryan,32.0,31,15,drink a beer,luke bryan
2014-03-01,32,Turn Down For What,DJ Snake & Lil Jon,37.0,32,8,turn down for what,dj snake and lil jon
2014-03-01,33,Brave,Sara Bareilles,28.0,23,36,brave,sara bareilles
2014-03-01,34,"Hold On, We're Going Home",Drake Featuring Majid Jordan,29.0,4,28,hold on we're going home,drake featuring majid jordan
2014-03-01,35,Young Girls,Bruno Mars,33.0,33,7,young girls,bruno mars
2014-03-01,36,Neon Lights,Demi Lovato,46.0,36,8,neon lights,demi lovato
2014-03-01,37,Animals,Martin Garrix,45.0,37,22,animals,martin garrix
2014-03-01,38,Paranoid,Ty Dolla $ign Featuring B.o.B,42.0,38,9,paranoid,ty dolla ign featuring b o b
2014-03-01,39,Sweater Weather,The Neighbourhood,34.0,14,36,sweater weather,the neighbourhood
2014-03-01,40,Sail,AWOLNATION,41.0,17,76,sail,awolnation
2014-03-01,41,When She Says Baby,Jason Aldean,40.0,40,12,when she says baby,jason aldean
2014-03-01,42,Bottoms Up,Brantley Gilbert,48.0,42,9,bottoms up,brantley gilbert
2014-03-01,43,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,39.0,1,44,blurred lines,robin thicke featuring t i pharrell
2014-03-01,44,Give Me Back My Hometown,Eric Church,52.0,44,6,give me back my hometown,eric church
2014-03-01,45,Whatever She's Got,David Nail,35.0,35,20,whatever she's got,david nail
2014-03-01,46,Safe And Sound,Capital Cities,43.0,8,42,safe and sound,capital cities
2014-03-01,47,Stay The Night,Zedd Featuring Hayley Williams,36.0,18,22,stay the night,zedd featuring hayley williams
2014-03-01,48,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",47.0,11,22,23,mike will made-it featuring miley cyrus wiz khalifa and juicy j
2014-03-01,49,Doin' What She Likes,Blake Shelton,55.0,49,5,doin' what she likes,blake shelton
2014-03-01,50,Compass,Lady Antebellum,53.0,50,15,compass,lady antebellum
2014-03-01,51,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,44.0,15,22,white walls,macklemore and ryan lewis featuring schoolboy q and hollis
2014-03-01,52,It Won't Stop,Sevyn Streeter Featuring Chris Brown,51.0,30,20,it won't stop,sevyn streeter featuring chris brown
2014-03-01,53,Helluva Life,Frankie Ballard,61.0,53,11,helluva life,frankie ballard
2014-03-01,54,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,63.0,54,5,loyal,chris brown featuring lil wayne and french montana or too hort or tyga
2014-03-01,55,Let It Go,Demi Lovato,56.0,38,12,let it go,demi lovato
2014-03-01,56,Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",57.0,55,8,do you want to build a snowman,kristen bell agatha lee monn and katie lopez
2014-03-01,57,See You Tonight,Scotty McCreery,62.0,57,12,see you tonight,scotty mccreery
2014-03-01,58,I Hold On,Dierks Bentley,59.0,58,9,i hold on,dierks bentley
2014-03-01,59,Rap God,Eminem,58.0,7,18,rap god,eminem
2014-03-01,60,Cop Car,Keith Urban,73.0,60,3,cop car,keith urban
2014-03-01,61,Drink To That All Night,Jerrod Niemann,70.0,61,7,drink to that all night,jerrod niemann
2014-03-01,62,Everything Is AWESOME!!!,Tegan And Sara Featuring The Lonely Island,0.0,62,1,everything is awesome,tegan and sara featuring the lonely island
2014-03-01,63,Automatic,Miranda Lambert,0.0,63,1,automatic,miranda lambert
2014-03-01,64,Take Me Home,Cash Cash Featuring Bebe Rexha,67.0,64,5,take me home,cash cash featuring bebe rexha
2014-03-01,65,Up Down (Do This All Day),T-Pain Featuring B.o.B,66.0,65,13,up down,t-pain featuring b o b
2014-03-01,66,Friday Night,Eric Paslay,49.0,47,18,friday night,eric paslay
2014-03-01,67,Rewind,Rascal Flatts,79.0,58,5,rewind,rascal flatts
2014-03-01,68,Do What U Want,Lady Gaga Featuring R. Kelly,50.0,13,17,do what u want,lady gaga featuring r kelly
2014-03-01,69,Na Na,Trey Songz,80.0,69,4,na na,trey songz
2014-03-01,70,Love Don't Die,The Fray,60.0,60,7,love don't die,the fray
2014-03-01,71,19 You + Me,Dan + Shay,72.0,71,7,19 you me,dan shay
2014-03-01,72,The Language,Drake,71.0,51,17,the language,drake
2014-03-01,73,Unconditionally,Katy Perry,68.0,14,17,unconditionally,katy perry
2014-03-01,74,Get Me Some Of That,Thomas Rhett,75.0,74,6,get me some of that,thomas rhett
2014-03-01,75,Stoner,Young Thug,0.0,75,1,stoner,young thug
2014-03-01,76,Stay,Florida Georgia Line,64.0,28,18,stay,florida georgia line
2014-03-01,77,Goodnight Kiss,Randy Houser,74.0,74,6,goodnight kiss,randy houser
2014-03-01,78,For The First Time In Forever,Kristen Bell & Idina Menzel,69.0,57,8,for the first time in forever,kristen bell and idina menzel
2014-03-01,79,Do I Wanna Know?,Arctic Monkeys,76.0,76,11,do i wanna know,arctic monkeys
2014-03-01,80,Achy Breaky 2,Buck 22 Featuring Billy Ray Cyrus,0.0,80,1,achy breaky 2,buck 22 featuring billy ray cyrus
2014-03-01,81,Waiting For Superman,Daughtry,78.0,66,14,waiting for superman,daughtry
