song_base,artist_canon,genius_full_title,genius_primary_artist,match_score_num,genius_url
the fighter,keith urban featuring carrie underwood,The Fighter by Keith Urban (Ft. Carrie Underwood),Keith Urban,0.6301369863013698,https://genius.com/Keith-urban-the-fighter-lyrics
the fighter,keith urban featuring carrie underwood,The Fighter by Keith Urban (Ft. Carrie Underwood),Keith Urban,0.6301369863013698,https://genius.com/Keith-urban-the-fighter-lyrics
the fighter,keith urban featuring carrie underwood,The Fighter by Keith Urban (Ft. Carrie Underwood),Keith Urban,0.6301369863013698,https://genius.com/Keith-urban-the-fighter-lyrics
the fighter,keith urban featuring carrie underwood,The Fighter by Keith Urban (Ft. Carrie Underwood),Keith Urban,0.6301369863013698,https://genius.com/Keith-urban-the-fighter-lyrics
the fighter,keith urban featuring carrie underwood,The Fighter by Keith Urban (Ft. Carrie Underwood),Keith Urban,0.6301369863013698,https://genius.com/Keith-urban-the-fighter-lyrics
the fighter,keith urban featuring carrie underwood,The Fighter by Keith Urban (Ft. Carrie Underwood),Keith Urban,0.6301369863013698,https://genius.com/Keith-urban-the-fighter-lyrics
the fighter,keith urban featuring carrie underwood,The Fighter by Keith Urban (Ft. Carrie Underwood),Keith Urban,0.6301369863013698,https://genius.com/Keith-urban-the-fighter-lyrics
the fighter,keith urban featuring carrie underwood,The Fighter by Keith Urban (Ft. Carrie Underwood),Keith Urban,0.6301369863013698,https://genius.com/Keith-urban-the-fighter-lyrics
the fighter,keith urban featuring carrie underwood,The Fighter by Keith Urban (Ft. Carrie Underwood),Keith Urban,0.6301369863013698,https://genius.com/Keith-urban-the-fighter-lyrics
not for long,b.o.b featuring trey songz,Not For Long by B.o.B (Ft. Trey Songz),B.o.B,0.631578947368421,https://genius.com/Bob-not-for-long-lyrics
not for long,b.o.b featuring trey songz,Not For Long by B.o.B (Ft. Trey Songz),B.o.B,0.631578947368421,https://genius.com/Bob-not-for-long-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
not for long,b.o.b featuring trey songz,Not For Long by B.o.B (Ft. Trey Songz),B.o.B,0.631578947368421,https://genius.com/Bob-not-for-long-lyrics
down,fifth harmony featuring gucci mane,Down by Fifth Harmony (Ft. Gucci Mane),Fifth Harmony,0.631578947368421,https://genius.com/Fifth-harmony-down-lyrics
not for long,b.o.b featuring trey songz,Not For Long by B.o.B (Ft. Trey Songz),B.o.B,0.631578947368421,https://genius.com/Bob-not-for-long-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
not for long,b.o.b featuring trey songz,Not For Long by B.o.B (Ft. Trey Songz),B.o.B,0.631578947368421,https://genius.com/Bob-not-for-long-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
down,fifth harmony featuring gucci mane,Down by Fifth Harmony (Ft. Gucci Mane),Fifth Harmony,0.631578947368421,https://genius.com/Fifth-harmony-down-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
you only live twice,drake featuring lil wayne and rick ross,Drake - You Only Live Twice ft. Lil Wayne & Rick Ross (हिंदी अनुवाद) by Genius Hindi Translations (हिंदी अनुवाद),Genius Hindi Translations (हिंदी अनुवाद),0.631578947368421,https://genius.com/Genius-hindi-translations-drake-you-only-live-twice-ft-lil-wayne-and-rick-ross-lyrics
down,fifth harmony featuring gucci mane,Down by Fifth Harmony (Ft. Gucci Mane),Fifth Harmony,0.631578947368421,https://genius.com/Fifth-harmony-down-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
you only live twice,drake featuring lil wayne and rick ross,Drake - You Only Live Twice ft. Lil Wayne & Rick Ross (हिंदी अनुवाद) by Genius Hindi Translations (हिंदी अनुवाद),Genius Hindi Translations (हिंदी अनुवाद),0.631578947368421,https://genius.com/Genius-hindi-translations-drake-you-only-live-twice-ft-lil-wayne-and-rick-ross-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
not for long,b.o.b featuring trey songz,Not For Long by B.o.B (Ft. Trey Songz),B.o.B,0.631578947368421,https://genius.com/Bob-not-for-long-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
not for long,b.o.b featuring trey songz,Not For Long by B.o.B (Ft. Trey Songz),B.o.B,0.631578947368421,https://genius.com/Bob-not-for-long-lyrics
not for long,b.o.b featuring trey songz,Not For Long by B.o.B (Ft. Trey Songz),B.o.B,0.631578947368421,https://genius.com/Bob-not-for-long-lyrics
not for long,b.o.b featuring trey songz,Not For Long by B.o.B (Ft. Trey Songz),B.o.B,0.631578947368421,https://genius.com/Bob-not-for-long-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
down,fifth harmony featuring gucci mane,Down by Fifth Harmony (Ft. Gucci Mane),Fifth Harmony,0.631578947368421,https://genius.com/Fifth-harmony-down-lyrics
down,fifth harmony featuring gucci mane,Down by Fifth Harmony (Ft. Gucci Mane),Fifth Harmony,0.631578947368421,https://genius.com/Fifth-harmony-down-lyrics
down,fifth harmony featuring gucci mane,Down by Fifth Harmony (Ft. Gucci Mane),Fifth Harmony,0.631578947368421,https://genius.com/Fifth-harmony-down-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
down,fifth harmony featuring gucci mane,Down by Fifth Harmony (Ft. Gucci Mane),Fifth Harmony,0.631578947368421,https://genius.com/Fifth-harmony-down-lyrics
down,fifth harmony featuring gucci mane,Down by Fifth Harmony (Ft. Gucci Mane),Fifth Harmony,0.631578947368421,https://genius.com/Fifth-harmony-down-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
like that,doja cat featuring gucci mane,Like That by Doja Cat (Ft. Gucci Mane),Doja Cat,0.631578947368421,https://genius.com/Doja-cat-like-that-lyrics
baby blue,action bronson featuring chance the rapper,Baby Blue by Action Bronson (Ft. Chance the Rapper),Action Bronson,0.631578947368421,https://genius.com/Action-bronson-baby-blue-lyrics
down,fifth harmony featuring gucci mane,Down by Fifth Harmony (Ft. Gucci Mane),Fifth Harmony,0.631578947368421,https://genius.com/Fifth-harmony-down-lyrics
down,fifth harmony featuring gucci mane,Down by Fifth Harmony (Ft. Gucci Mane),Fifth Harmony,0.631578947368421,https://genius.com/Fifth-harmony-down-lyrics
suicidal,ynw melly and juice wrld,Suicidal (Remix) by YNW Melly (Ft. Juice WRLD),YNW Melly,0.631578947368421,https://genius.com/Ynw-melly-suicidal-remix-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
cut her off,kcamp featuring 2 chainz,Cut Her Off (Feat. 2 Chainz & Jeo Jetson) by K CAMP (Ft. 2 Chainz),K CAMP,0.6329113924050633,https://genius.com/K-camp-cut-her-off-feat-2-chainz-and-jeo-jetson-lyrics
lights down low,max featuring gnash,Lights Down Low (Remix) by MAX (Ft. gnash),MAX,0.6333333333333333,https://genius.com/Max-lights-down-low-remix-lyrics
glorious,macklemore featuring skylar grey,Glorious by Macklemore (Ft. Skylar Grey),Macklemore,0.6333333333333333,https://genius.com/Macklemore-glorious-lyrics
lights down low,max featuring gnash,Lights Down Low (Remix) by MAX (Ft. gnash),MAX,0.6333333333333333,https://genius.com/Max-lights-down-low-remix-lyrics
lights down low,max featuring gnash,Lights Down Low (Remix) by MAX (Ft. gnash),MAX,0.6333333333333333,https://genius.com/Max-lights-down-low-remix-lyrics
glorious,macklemore featuring skylar grey,Glorious by Macklemore (Ft. Skylar Grey),Macklemore,0.6333333333333333,https://genius.com/Macklemore-glorious-lyrics
blame,calvin harris featuring john newman,Blame by Calvin Harris (Ft. John Newman),Calvin Harris,0.6333333333333333,https://genius.com/Calvin-harris-blame-lyrics
blame,calvin harris featuring john newman,Blame by Calvin Harris (Ft. John Newman),Calvin Harris,0.6333333333333333,https://genius.com/Calvin-harris-blame-lyrics
lights down low,max featuring gnash,Lights Down Low (Remix) by MAX (Ft. gnash),MAX,0.6333333333333333,https://genius.com/Max-lights-down-low-remix-lyrics
rake it up,yo gotti featuring nicki minaj,Rake It Up by Yo Gotti (Ft. Nicki Minaj),Yo Gotti,0.6333333333333333,https://genius.com/Yo-gotti-rake-it-up-lyrics
glorious,macklemore featuring skylar grey,Glorious by Macklemore (Ft. Skylar Grey),Macklemore,0.6333333333333333,https://genius.com/Macklemore-glorious-lyrics
rake it up,yo gotti featuring nicki minaj,Rake It Up by Yo Gotti (Ft. Nicki Minaj),Yo Gotti,0.6333333333333333,https://genius.com/Yo-gotti-rake-it-up-lyrics
make me proud,drake featuring nicki minaj,Make Me Proud by Drake (Ft. Nicki Minaj),Drake,0.6333333333333333,https://genius.com/Drake-make-me-proud-lyrics
f k you,ceelo green,F**k You (Le Castle Vania Remix) by CeeLo Green & Le Castle Vania,CeeLo Green,0.6333333333333333,https://genius.com/Ceelo-green-and-le-castle-vania-fk-you-le-castle-vania-remix-lyrics
f k you,ceelo green,F**k You (Le Castle Vania Remix) by CeeLo Green & Le Castle Vania,CeeLo Green,0.6333333333333333,https://genius.com/Ceelo-green-and-le-castle-vania-fk-you-le-castle-vania-remix-lyrics
lights down low,max featuring gnash,Lights Down Low (Remix) by MAX (Ft. gnash),MAX,0.6333333333333333,https://genius.com/Max-lights-down-low-remix-lyrics
f k you,ceelo green,F**k You (Le Castle Vania Remix) by CeeLo Green & Le Castle Vania,CeeLo Green,0.6333333333333333,https://genius.com/Ceelo-green-and-le-castle-vania-fk-you-le-castle-vania-remix-lyrics
glorious,macklemore featuring skylar grey,Glorious by Macklemore (Ft. Skylar Grey),Macklemore,0.6333333333333333,https://genius.com/Macklemore-glorious-lyrics
lights down low,max featuring gnash,Lights Down Low (Remix) by MAX (Ft. gnash),MAX,0.6333333333333333,https://genius.com/Max-lights-down-low-remix-lyrics
rake it up,yo gotti featuring nicki minaj,Rake It Up by Yo Gotti (Ft. Nicki Minaj),Yo Gotti,0.6333333333333333,https://genius.com/Yo-gotti-rake-it-up-lyrics
make a movie,twista featuring chris brown,Make a Movie by Twista (Ft. Chris Brown),Twista,0.6333333333333333,https://genius.com/Twista-make-a-movie-lyrics
glorious,macklemore featuring skylar grey,Glorious by Macklemore (Ft. Skylar Grey),Macklemore,0.6333333333333333,https://genius.com/Macklemore-glorious-lyrics
glorious,macklemore featuring skylar grey,Glorious by Macklemore (Ft. Skylar Grey),Macklemore,0.6333333333333333,https://genius.com/Macklemore-glorious-lyrics
f k you,ceelo green,F**k You (Le Castle Vania Remix) by CeeLo Green & Le Castle Vania,CeeLo Green,0.6333333333333333,https://genius.com/Ceelo-green-and-le-castle-vania-fk-you-le-castle-vania-remix-lyrics
lights down low,max featuring gnash,Lights Down Low (Remix) by MAX (Ft. gnash),MAX,0.6333333333333333,https://genius.com/Max-lights-down-low-remix-lyrics
rake it up,yo gotti featuring nicki minaj,Rake It Up by Yo Gotti (Ft. Nicki Minaj),Yo Gotti,0.6333333333333333,https://genius.com/Yo-gotti-rake-it-up-lyrics
blame,calvin harris featuring john newman,Blame by Calvin Harris (Ft. John Newman),Calvin Harris,0.6333333333333333,https://genius.com/Calvin-harris-blame-lyrics
lights down low,max featuring gnash,Lights Down Low (Remix) by MAX (Ft. gnash),MAX,0.6333333333333333,https://genius.com/Max-lights-down-low-remix-lyrics
rake it up,yo gotti featuring nicki minaj,Rake It Up by Yo Gotti (Ft. Nicki Minaj),Yo Gotti,0.6333333333333333,https://genius.com/Yo-gotti-rake-it-up-lyrics
make me proud,drake featuring nicki minaj,Make Me Proud by Drake (Ft. Nicki Minaj),Drake,0.6333333333333333,https://genius.com/Drake-make-me-proud-lyrics
f k you,ceelo green,F**k You (Le Castle Vania Remix) by CeeLo Green & Le Castle Vania,CeeLo Green,0.6333333333333333,https://genius.com/Ceelo-green-and-le-castle-vania-fk-you-le-castle-vania-remix-lyrics
lights down low,max featuring gnash,Lights Down Low (Remix) by MAX (Ft. gnash),MAX,0.6333333333333333,https://genius.com/Max-lights-down-low-remix-lyrics
